num_samples,learning_rate,momentum,batch_size,bias_initializer_stddev,width,mean_loss,std_loss,min_loss,max_loss
50,0.001,0.9,8,3.0,100,0.0004845413102884777,0.00045933094205171076,3.058819493162446e-05,0.0014338946202769876
50,0.001,0.9,32,3.0,100,0.000634194610574923,0.0007633588260777018,3.896728594554588e-05,0.0031382113229483366
50,0.001,0.9,50,3.0,100,0.0009444325861295511,0.00151388337404438,2.1239609850454144e-05,0.005159094929695129
50,0.001,0.9,16,3.0,100,0.0016979518310108687,0.0025526898638983443,1.3719116395805031e-05,0.011341973207890987
